Date,Fight Link,Event Link,Fight Number,Round,Fighter 1,Fighter 2,Fighter 1 Link,Fighter 2 Link,Fighter 1 TD,Fighter 2 TD,Fighter 1 Sub Att,Fighter 2 Sub Att,Fighter 1 Rev,Fighter 2 Rev,Fighter 1 Ctrl,Fighter 2 Ctrl,Fighter 1 KD,Fighter 2 KD,Fighter 1 Total SS,Fighter 2 Total SS,Fighter 1 Head SS,Fighter 2 Head SS,Fighter 1 Body SS,Fighter 2 Body SS,Fighter 1 Leg SS,Fighter 2 Leg SS,Fighter 1 Distance SS,Fighter 2 Distance SS,Fighter 1 Clinch SS,Fighter 2 Clinch SS,Fighter 1 Ground SS,Fighter 2 Ground SS
2018-07-06,http://ufcstats.com/fight-details/4d549f33c0711a7a,http://ufcstats.com/event-details/8215e4fe24e8e81b,2,2,Matt Bessette,Steven Peterson,http://ufcstats.com/fighter-details/0b8d512c79b4baf3,http://ufcstats.com/fighter-details/b93c06d09d1c4ac0,0 of 1,1 of 3,0,0,0,0,0:00,1:54,0,0,28 of 69,38 of 89,22 of 60,28 of 77,5 of 6,5 of 7,1 of 3,5 of 5,24 of 64,26 of 74,4 of 5,5 of 7,0 of 0,7 of 8
2018-07-06,http://ufcstats.com/fight-details/4d549f33c0711a7a,http://ufcstats.com/event-details/8215e4fe24e8e81b,2,3,Matt Bessette,Steven Peterson,http://ufcstats.com/fighter-details/0b8d512c79b4baf3,http://ufcstats.com/fighter-details/b93c06d09d1c4ac0,0 of 0,1 of 3,0,0,1,1,0:21,3:58,0,0,4 of 12,14 of 26,3 of 11,7 of 18,1 of 1,7 of 8,0 of 0,0 of 0,2 of 10,3 of 14,2 of 2,6 of 6,0 of 0,5 of 6
2018-07-06,http://ufcstats.com/fight-details/363b72bf7f75091c,http://ufcstats.com/event-details/8215e4fe24e8e81b,1,1,Gerald Meerschaert,Oskar Piechota,http://ufcstats.com/fighter-details/6ac9bc2953c47345,http://ufcstats.com/fighter-details/1cf7ccf64a5bf24e,0 of 0,1 of 1,0,1,1,0,0:18,3:17,0,1,4 of 14,10 of 17,0 of 9,7 of 14,3 of 4,3 of 3,1 of 1,0 of 0,1 of 11,8 of 13,0 of 0,0 of 0,3 of 3,2 of 4
2018-07-06,http://ufcstats.com/fight-details/363b72bf7f75091c,http://ufcstats.com/event-details/8215e4fe24e8e81b,1,2,Gerald Meerschaert,Oskar Piechota,http://ufcstats.com/fighter-details/6ac9bc2953c47345,http://ufcstats.com/fighter-details/1cf7ccf64a5bf24e,3 of 4,0 of 0,2,1,0,0,2:12,0:04,0,0,47 of 90,13 of 36,43 of 86,10 of 32,3 of 3,0 of 1,1 of 1,3 of 3,8 of 32,10 of 29,20 of 28,3 of 7,19 of 30,0 of 0
2018-06-23,http://ufcstats.com/fight-details/28c70663b99560a8,http://ufcstats.com/event-details/ac5f67109accb482,13,1,Donald Cerrone,Leon Edwards,http://ufcstats.com/fighter-details/1d00756835ca67c9,http://ufcstats.com/fighter-details/f1fac969a1d70b08,0 of 1,0 of 2,0,0,0,0,0:00,0:45,0,0,12 of 26,16 of 32,2 of 13,9 of 22,7 of 9,4 of 7,3 of 4,3 of 3,10 of 24,7 of 22,2 of 2,9 of 10,0 of 0,0 of 0
2018-06-23,http://ufcstats.com/fight-details/28c70663b99560a8,http://ufcstats.com/event-details/ac5f67109accb482,13,2,Donald Cerrone,Leon Edwards,http://ufcstats.com/fighter-details/1d00756835ca67c9,http://ufcstats.com/fighter-details/f1fac969a1d70b08,0 of 2,0 of 1,0,0,0,0,0:44,0:03,0,0,12 of 26,16 of 32,3 of 13,6 of 20,8 of 10,8 of 10,1 of 3,2 of 2,9 of 21,10 of 26,3 of 5,6 of 6,0 of 0,0 of 0
2018-06-23,http://ufcstats.com/fight-details/28c70663b99560a8,http://ufcstats.com/event-details/ac5f67109accb482,13,3,Donald Cerrone,Leon Edwards,http://ufcstats.com/fighter-details/1d00756835ca67c9,http://ufcstats.com/fighter-details/f1fac969a1d70b08,0 of 3,0 of 0,0,0,0,0,0:12,0:00,0,0,15 of 37,19 of 38,8 of 24,11 of 29,6 of 10,5 of 5,1 of 3,3 of 4,12 of 33,15 of 32,3 of 4,4 of 6,0 of 0,0 of 0
2018-06-23,http://ufcstats.com/fight-details/28c70663b99560a8,http://ufcstats.com/event-details/ac5f67109accb482,13,4,Donald Cerrone,Leon Edwards,http://ufcstats.com/fighter-details/1d00756835ca67c9,http://ufcstats.com/fighter-details/f1fac969a1d70b08,0 of 2,0 of 1,0,0,0,0,0:57,0:00,0,0,10 of 20,15 of 31,1 of 7,8 of 19,5 of 5,1 of 3,4 of 8,6 of 9,9 of 18,13 of 29,1 of 2,2 of 2,0 of 0,0 of 0
2018-06-23,http://ufcstats.com/fight-details/28c70663b99560a8,http://ufcstats.com/event-details/ac5f67109accb482,13,5,Donald Cerrone,Leon Edwards,http://ufcstats.com/fighter-details/1d00756835ca67c9,http://ufcstats.com/fighter-details/f1fac969a1d70b08,1 of 1,0 of 0,0,0,0,0,0:51,0:00,0,0,11 of 22,18 of 33,3 of 10,3 of 15,4 of 6,1 of 2,4 of 6,14 of 16,8 of 19,17 of 31,2 of 2,1 of 2,1 of 1,0 of 0
2018-06-23,http://ufcstats.com/fight-details/bb4755924dfafaea,http://ufcstats.com/event-details/ac5f67109accb482,12,1,Ovince Saint Preux,Tyson Pedro,http://ufcstats.com/fighter-details/50db8711c70196cd,http://ufcstats.com/fighter-details/49e96ff8ab781589,0 of 1,0 of 4,1,1,0,0,0:35,1:20,0,1,7 of 12,9 of 12,5 of 9,5 of 6,2 of 3,3 of 4,0 of 0,1 of 2,4 of 8,6 of 8,0 of 0,3 of 4,3 of 4,0 of 0
2018-06-23,http://ufcstats.com/fight-details/2242e7df6f320ea6,http://ufcstats.com/event-details/ac5f67109accb482,11,1,Jessica-Rose Clark,Jessica Eye,http://ufcstats.com/fighter-details/6c8072b61c276e67,http://ufcstats.com/fighter-details/f72465a784c1b084,0 of 0,0 of 0,0,0,0,0,0:00,0:00,0,0,18 of 58,17 of 88,15 of 52,13 of 79,1 of 4,3 of 7,2 of 2,1 of 2,18 of 58,17 of 88,0 of 0,0 of 0,0 of 0,0 of 0
2018-06-23,http://ufcstats.com/fight-details/2242e7df6f320ea6,http://ufcstats.com/event-details/ac5f67109accb482,11,2,Jessica-Rose Clark,Jessica Eye,http://ufcstats.com/fighter-details/6c8072b61c276e67,http://ufcstats.com/fighter-details/f72465a784c1b084,0 of 0,0 of 0,0,0,0,0,0:02,0:21,0,0,20 of 46,23 of 71,10 of 33,10 of 54,7 of 8,9 of 13,3 of 5,4 of 4,18 of 44,21 of 69,2 of 2,0 of 0,0 of 0,2 of 2
2018-06-23,http://ufcstats.com/fight-details/2242e7df6f320ea6,http://ufcstats.com/event-details/ac5f67109accb482,11,3,Jessica-Rose Clark,Jessica Eye,http://ufcstats.com/fighter-details/6c8072b61c276e67,http://ufcstats.com/fighter-details/f72465a784c1b084,0 of 0,1 of 2,0,0,0,0,0:00,1:43,0,0,13 of 35,27 of 66,5 of 26,15 of 49,5 of 6,11 of 15,3 of 3,1 of 2,10 of 30,22 of 60,2 of 3,0 of 0,1 of 2,5 of 6
